mgi_id	gene_name	ensemble_id	uberon_annotations
mgi:5560152	b2b2362.2clo	not_found	uberon_0001708,uberon_0011156,uberon_0004535,uberon_0003382,uberon_0003381,uberon_0001456,uberon_0003128,uberon_0001834,uberon_0000033,uberon_0001630,uberon_0005944,uberon_0001007,uberon_0000948,uberon_0002084,uberon_0007811,uberon_0002080,uberon_0000383,uberon_0003697,uberon_0000165,uberon_0003457,uberon_0000309,uberon_0001434,uberon_0006333
mgi:5763629	kavh	not_found	uberon_0002113,uberon_0000056,uberon_0001690,uberon_0003947,uberon_0002105,uberon_0000955,uberon_0001224,uberon_0001359,uberon_0001008
mgi:5427397	mut579	not_found	uberon_0001708,uberon_0005944,uberon_0007811,uberon_0001456,uberon_0011156,uberon_0000922,uberon_0003457,uberon_0003128,uberon_0000033,uberon_0000019,uberon_0002104,uberon_0001434,uberon_0006333
mgi:1341296	tlr6	ensmusg00000051498	uberon_0000079,uberon_0002405,uberon_0000468,uberon_0002390
mgi:1924937	kcnq5	ensmusg00000028033	uberon_0001016
mgi:3577767	grxcr1	ensmusg00000068082	uberon_0002295,uberon_0001016,uberon_0002499,uberon_0000395,uberon_0004681,uberon_0003457,uberon_0012449,uberon_0002824,uberon_0000012,uberon_0004043,uberon_0002519,uberon_0002105,uberon_0002227,uberon_0006937,uberon_0001854,uberon_0005944,uberon_0003950,uberon_0002282,uberon_0005236,uberon_0007833,uberon_0007811,uberon_0001846,uberon_0001844,uberon_0001849,uberon_0001862,uberon_0004721,uberon_0002212,uberon_0003128,uberon_0002233,uberon_0001690,uberon_0001434
mgi:1924933	ehmt1	ensmusg00000036893	uberon_0001708,uberon_0004177,uberon_0002405,uberon_0011156,uberon_0009679,uberon_0000349,uberon_0004535,uberon_0002135,uberon_0005996,uberon_0005998,uberon_0000955,uberon_0001016,uberon_0005989,uberon_0001456,uberon_0002490,uberon_0004716,uberon_0001871,uberon_0001890,uberon_0002390,uberon_0002107,uberon_0002062,uberon_0002104,uberon_0001091,uberon_0001049,uberon_0010412,uberon_0000033,uberon_0001893,uberon_0002313,uberon_0001348,uberon_0009680,uberon_0000964,uberon_0005944,uberon_0000948,uberon_0007811,uberon_0002087,uberon_0001347,uberon_0001869,uberon_0000019,uberon_0001681,uberon_0001801,uberon_0002421,uberon_0003128,uberon_0002134,uberon_0003427,uberon_0014396,uberon_0000323,uberon_0000165,uberon_0001434,uberon_0002423
mgi:5297500	tg(cd4-il17re)#cdon	not_found	uberon_0002405
mgi:3640571	skmw13	not_found	uberon_0000383,uberon_0001386,uberon_0001134,uberon_0008777
mgi:3640570	skmw12	not_found	uberon_0000383,uberon_0001134,uberon_0001388,uberon_0008777
mgi:3640573	skmw15	not_found	uberon_0000383,uberon_0001134,uberon_0001388,uberon_0008777
mgi:3640572	skmw14	not_found	uberon_0000383,uberon_0001134,uberon_0001389,uberon_0008777
mgi:3640575	skmw17	not_found	uberon_0000383,uberon_0001386,uberon_0001134,uberon_0008777
mgi:3844445	tg(thy1-nlgn2)6hnes	not_found	uberon_0005944,uberon_0000468,uberon_0001434,uberon_0001130,uberon_0007812,uberon_0000955,uberon_0001016
mgi:3640576	skmw18	not_found	uberon_0000383,uberon_0001134,uberon_0008777,uberon_0001389
mgi:1341292	ush2a	ensmusg00000026609	uberon_0002295,uberon_0001016,uberon_0002499,uberon_0000019,uberon_0000012,uberon_0006937,uberon_0002105,uberon_0002104,uberon_0002227,uberon_0005944,uberon_0000966,uberon_0012449,uberon_0007811,uberon_0003902,uberon_0001846,uberon_0003951,uberon_0001844,uberon_0001849,uberon_0001802,uberon_0003457,uberon_0003128,uberon_0001787,uberon_0001690,uberon_0001434
mgi:1925044	adamtsl2	ensmusg00000036040	uberon_0000383,uberon_0000014,uberon_0002185,uberon_0000115,uberon_0002048,uberon_0001004,uberon_0002031
mgi:3815569	rgsc1553	not_found	uberon_0001037,uberon_0010166,uberon_0002416
mgi:1098246	nrg2	ensmusg00000060275	uberon_0000990,uberon_0000468
mgi:2661257	cd8ts1	not_found	uberon_0002390,uberon_0002405
mgi:87909	acta2	ensmusg00000035783	uberon_0000383,uberon_0002104,uberon_0000019,uberon_0004237,uberon_0004535,uberon_0003609,uberon_0004573,uberon_0003618,uberon_0000178,uberon_0000947,uberon_0004663,uberon_0001630
mgi:1098535	camk1	ensmusg00000030272	uberon_0005944,uberon_0002414,uberon_0004451,uberon_0001434
mgi:1098240	kif16b	ensmusg00000038844	uberon_0000091,uberon_0000922,uberon_0004716,uberon_0005291,uberon_0008776,uberon_0008780
