Uberon_id	P-value	Term name
uberon_0003065	1.0	ciliary_marginal_zone
uberon_0002166	1.0	endocardium_of_atrium
uberon_0005498	1.0	primitive_heart_tube
uberon_0005499	1.0	rhombomere_1
uberon_0005492	1.0	hyaloid_vessel
uberon_0005497	1.0	non-neural_ectoderm
uberon_2000544	1.0	pectoral_fin_actinotrichium
uberon_2000623	1.0	basipterygium_bone
uberon_0004467	1.0	musculature_of_pharynx
uberon_0000043	1.0	tendon
uberon_0000167	1.0	oral_cavity
uberon_0000165	1.0	mouth
uberon_0003832	1.0	esophagus_muscle
uberon_0003412	1.0	pelvic_appendage_bud_mesenchyme
uberon_0005426	1.0	lens_vesicle
uberon_0005421	1.0	pectoral_appendage_apical_ectodermal_ridge
uberon_2005026	1.0	primary_head_sinus
uberon_0002424	1.0	oral_epithelium
uberon_0006964	1.0	pars_distalis_of_adenohypophysis
uberon_0005787	1.0	lamina_densa_of_glomerular_basement_membrane
uberon_0002423	1.0	hepatobiliary_system
uberon_0001601	1.0	extra-ocular_muscle
uberon_0001213	1.0	intestinal_villus
uberon_2000267	1.0	primary_olfactory_fiber_layer
uberon_0011615	1.0	basihyal_cartilage
uberon_2000814	1.0	opercular_lateral_line_neuromast
uberon_0010741	1.0	bone_of_pectoral_complex
uberon_0007862	1.0	perichordal_tissue
uberon_0006595	1.0	presumptive_endoderm
uberon_2001190	1.0	weberian_vertebra
uberon_2005052	1.0	anterior_mesencephalic_central_artery
uberon_0001697	1.0	orbit_of_skull
uberon_2005054	1.0	inner_optic_circle
uberon_2000940	1.0	posterior_lateral_line_neuromast
uberon_0001905	1.0	pineal_body
uberon_0011683	1.0	adductor_mandibulae
uberon_0001919	1.0	endothelium_of_vein
uberon_0001043	1.0	esophagus
uberon_0001042	1.0	chordate_pharynx
uberon_0007269	1.0	pectoral_appendage_musculature
uberon_2005170	1.0	extrahepatic_duct
uberon_0001286	1.0	bowman's_space
uberon_0001281	1.0	hepatic_sinusoid
uberon_0002722	1.0	trochlear_nucleus
uberon_2001125	1.0	organizer_inducing_center
uberon_2000813	1.0	infraorbital_lateral_line_neuromast
uberon_0003122	1.0	pharyngeal_arch_artery_5
uberon_0003123	1.0	pharyngeal_arch_artery_6
uberon_0003249	1.0	epithelium_of_otic_placode
uberon_0000991	1.0	gonad
uberon_0002110	1.0	gall_bladder
uberon_0003053	1.0	ventricular_zone
uberon_0003055	1.0	periderm
uberon_0003116	1.0	pharyngeal_arch_5
uberon_0003059	1.0	presomitic_mesoderm
uberon_0010285	1.0	midbrain_basal_plate
uberon_0001135	1.0	smooth_muscle_tissue
uberon_2001508	1.0	trabecula_communis
uberon_2000766	1.0	granular_layer_valvula_cerebelli
uberon_0007098	1.0	mandibular_neural_crest
uberon_0007099	1.0	hyoid_neural_crest
