protein1 protein2 combined_score
smarca4 ube2g1 0.302667223344
gfpt1 nppc 0.301826035147
col10a1 nppc 0.316897585005
nppc prkg2 0.477430844057
nppc tg 0.321329588679
nppc phex 0.303276848945
ggt1 nppc 0.330919408839
nppc socs2 0.33886370842
nppc twist1 0.316747139398
nppc npr2 0.666625728629
nppc npr3 0.56082170641
l1cam plp1 0.355427841245
l1cam prnp 0.33809730576
hgf ocln 0.37541564501
il10 ocln 0.35840472293
ocln tgfbr3 0.419250491797
ocln tnfsf11 0.335498140533
gja1 ocln 0.354354850015
il6 ocln 0.389212236411
il4 ocln 0.304468051779
csf1 ocln 0.321497391626
ocln src 0.471578146727
hras ocln 0.305635363094
casp3 ocln 0.326330353199
mmp9 ocln 0.40593423754
ocln tnf 0.5267978234
ocln vegfa 0.349829171485
kras ocln 0.333479920815
ocln pthlh 0.392305283958
nfatc1 ocln 0.360977083433
ctnnb1 ocln 0.339274362791
inhba ocln 0.38240891644
lepr ocln 0.477154761182
mapk14 ocln 0.327986229042
tg(sod1*g37r)42dpr tg(sod1*g37r)9dpr 0.304805101138
atad2b ube3c 0.320662133432
ube3c usp14 0.358510135267
ascc3 ube3c 0.308539022146
mysm1 ube3c 0.524651783128
ube2j1 ube3c 0.441170059639
smad3 ube3c 0.321471369128
rnf10 ube3c 0.38121635743
dmd ube3c 0.30472982633
smad4 ube3c 0.302861600362
lrrk1 sh3pxd2b 0.350176218318
lrrk1 sh3gl2 0.388279949275
lrrk1 zic2 0.353073740005
lrrk1 zic3 0.381084648316
fos lrrk1 0.42418156392
lrrk1 myh4 0.369901836509
lrrk1 nbr1 0.431203606924
acsl4 lrrk1 0.304727960353
atad2b lrrk1 0.338359517466
lrrk1 pik3c3 0.320782418251
hells lrrk1 0.333388575003
hic1 lrrk1 0.385231355442
fmn1 lrrk1 0.318295148606
lrrk1 traf6 0.374805260599
gdf5 lrrk1 0.346608872417
lrrk1 rnd3 0.345240810643
bmp7 lrrk1 0.306426288648
bmp5 lrrk1 0.318289756687
chuk lrrk1 0.316909999207
lrrk1 ttc28 0.468740076239
ap4e1 lrrk1 0.354504825522
flnb lrrk1 0.392636489175
fras1 lrrk1 0.383716088972
lrrk1 pten 0.407751754487
lrrk1 wnt4 0.315289769867
ankrd27 lrrk1 0.474994825757
lrrk1 sp8 0.396239083761
lrrk1 sp3 0.42698888646
lrrk1 sp7 0.399672999026
fgfr3 lrrk1 0.580676624765
cyp51 lrrk1 0.368713832279
fosl1 lrrk1 0.41519677964
lrrk1 src 0.569663754591
lrrk1 ror2 0.558345627386
lrrk1 ube2j1 0.31002283181
lrrk1 pfn1 0.443628558592
bgn lrrk1 0.332831946963
bmpr1a lrrk1 0.301484086315
bmpr1b lrrk1 0.309803482244
hras lrrk1 0.445757545741
limk2 lrrk1 0.511065502921
gli2 lrrk1 0.422031920244
lrrk1 stat1 0.309738813476
ank1 lrrk1 0.423074521338
lrrk1 zscan10 0.396631456375
lrrk1 serpinh1 0.344387064129
lrrk1 pkdcc 0.608914877669
lrrk1 met 0.428533669105
lrrk1 wnt7a 0.329803115607
lrrk1 ptpre 0.364730899841
lrrk1 rhobtb3 0.418888569934
lrrk1 nkx3-2 0.301071107833
lrrk1 wnt5a 0.330804292638
lrrk1 vdr 0.309844777217
casp3 lrrk1 0.34747708372
lrrk1 pla2g6 0.420497801035
lrrk1 thrb 0.304875339562
lrrk1 thra 0.32840456595
ctsk lrrk1 0.343277264635
lrrk1 tcirg1 0.357136334515
lrrk1 pcsk5 0.530533188454
inpp5d lrrk1 0.320134918746
lrrk1 map3k14 0.48394495682
irak3 lrrk1 0.562581974795
lrrk1 ripk4 0.544144597506
klf7 lrrk1 0.336772025487
lrrk1 ptpn11 0.323905472644
kras lrrk1 0.397958913173
lrrk1 notch2 0.473318335301
lrrk1 ret 0.406605542794
lrrk1 nfatc1 0.318982605481
lrrk1 setd2 0.300924922685
ctnnb1 lrrk1 0.328129724575
lrrk1 prkg2 0.529444878739
dcn lrrk1 0.313082864028
jdp2 lrrk1 0.421722411953
gli3 lrrk1 0.378270162538
lrrk1 pip4k2b 0.416309724266
lrrk1 sept5 0.321784380431
chd2 lrrk1 0.307015917828
lrrk1 pcdh18 0.303244519165
klf10 lrrk1 0.399456802173
egr2 lrrk1 0.396846639947
egr1 lrrk1 0.359949081672
acvr1 lrrk1 0.311141748617
lrrk1 plagl1 0.345897618671
lrrk1 prdm4 0.381864964515
cyp27b1 lrrk1 0.412428511442
gabpb1 lrrk1 0.354230799553
lrrk1 ptpn2 0.38853459877
lrrk1 mecom 0.3486055773
lrrk1 smad3 0.306245388742
fgfr2 lrrk1 0.493868271435
fgfr1 lrrk1 0.498158359008
cyp26b1 lrrk1 0.339173271227
lrrk1 wnt10a 0.338363027313
lrrk1 mapk14 0.484961115183
lrrk1 pdgfra 0.496600288035
apc lrrk1 0.325768010242
lrrk1 twist1 0.342322741315
lrrk1 zbtb16 0.420563296993
lrrk1 npr2 0.366052413627
lrrk1 npr3 0.394091746604
lrrk1 smarca4 0.436738555519
lrrk1 mtor 0.369602665657
junb lrrk1 0.310372236598
hgf il10 0.382899247139
fos hgf 0.476486120415
fgf8 hgf 0.305835336658
fgf4 hgf 0.307464248456
fgf2 hgf 0.489644553437
hgf sparc 0.518510458161
hgf pik3c3 0.344228669573
hgf pax3 0.396475827943
esr1 hgf 0.341396050314
hgf lep 0.336070458511
hgf rac1 0.37897200724
hgf itgb1 0.437987766915
ahsg hgf 0.455094979982
bmp7 hgf 0.354599794198
bmp4 hgf 0.350067331044
bmp2 hgf 0.314943933254
hgf pten 0.385408384518
hgf il6 0.523010246207
hgf il4 0.443739168695
epo hgf 0.368234711958
hgf myc 0.533362772601
col1a2 hgf 0.319532778349
atp7a hgf 0.331883447218
fgfr3 hgf 0.482352988562
hgf twsg1 0.310387643888
fosl1 hgf 0.301884906757
csf1 hgf 0.326196327753
hgf src 0.496675559282
hgf spp1 0.455767237241
hgf hras 0.508075676576
hgf igf2 0.579119770236
hgf met 0.672802898397
hgf mmp14 0.458507465466
hgf mmp13 0.410154102182
casp3 hgf 0.37768323051
fgf10 hgf 0.34307912653
hgf mmp9 0.48698257229
hgf mmp2 0.465896360027
hgf tnf 0.489761834294
hgf vegfa 0.59112058688
hgf inpp5d 0.333964008481
hgf igfbp3 0.309192833257
hgf igf1 0.424957876678
hgf mstn 0.407223376977
hgf tgfb1 0.606662280844
hgf ptpn11 0.480330311291
hgf tgfb2 0.53495925527
hgf kras 0.528341625452
cd44 hgf 0.524297798104
hgf pthlh 0.300072753159
hgf ret 0.363120870143
hgf pgr 0.324038427116
hgf thbs1 0.463563925284
fam49b hgf 0.473649784598
hgf timp1 0.535680433423
ctnnb1 hgf 0.472499179547
dcn hgf 0.304394046521
hgf inhba 0.371250336637
cdkn2a hgf 0.41060732081
egr1 hgf 0.341971342819
hgf itgav 0.301116441603
ctgf hgf 0.319681570265
hgf lepr 0.419051319712
hgf smad3 0.336736763224
fgfr2 hgf 0.552606868192
fgfr1 hgf 0.518470582668
f2r hgf 0.341279677533
hgf mapk14 0.505917320739
hgf pdgfra 0.543032002456
apc hgf 0.322966264819
hgf mtor 0.413797800255
hgf smad4 0.387082178868
hgf smad2 0.48771950115
rac1 sh3pxd2b 0.487052081825
rnd3 sh3pxd2b 0.404711110841
sh3pxd2b src 0.362878707386
hras sh3pxd2b 0.436525442337
rhobtb3 sh3pxd2b 0.45680629375
mmp14 sh3pxd2b 0.374848927842
kras sh3pxd2b 0.42213458392
dbnl sh3pxd2b 0.524192513806
fos ncor1 0.386551931451
hells ncor1 0.325945451471
esr2 ncor1 0.54746170866
esr1 ncor1 0.599760876329
myc ncor1 0.483138804654
ncor1 suz12 0.5478967564
ncor1 ppargc1a 0.634369163448
ncor1 sirt1 0.531365302399
ncor1 satb2 0.342145249412
med25 ncor1 0.446397226229
ncor1 vdr 0.480568952129
ncor1 thrb 0.560627575698
ncor1 thra 0.583824584272
ncor1 notch2 0.350199088395
mef2c ncor1 0.316801138764
ncor1 setd2 0.315220690168
ncor1 pgr 0.550020479583
mb ncor1 0.453732458279
chd2 ncor1 0.325189242219
chd7 ncor1 0.302659768774
ncor1 nr1h2 0.485860005694
lepr ncor1 0.348295992679
ncor1 rps6kb1 0.341123607075
ncor1 smad3 0.408540810127
mapk14 ncor1 0.359237941174
ncor1 rbl2 0.302900124605
ncor1 zbtb16 0.324306269719
ncor1 smarca4 0.525226316679
mtor ncor1 0.336998837902
ncor1 smad4 0.432005590413
ncor1 smad2 0.407781309796
il10 mapkapk2 0.40118440434
ank il10 0.335973027084
fos il10 0.541865411959
fgf2 il10 0.376808836049
il10 mbp 0.375850790685
il10 irs1 0.34245303547
cd86 il10 0.569755286543
hand2 il10 0.545721994922
esr2 il10 0.31558300853
esr1 il10 0.36817070093
il10 il15 0.579512411896
il10 sell 0.460385640812
il10 lep 0.555495157392
il10 traf6 0.472776842547
il10 itgb1 0.396858910451
il10 tnfsf11 0.468599464146
chuk il10 0.345858585765
il10 lmna 0.32465520695
il10 runx2 0.325865450149
il10 runx3 0.320504081788
il10 pten 0.356375124093
il10 il6 0.632441307139
il10 il7 0.477765413517
il10 il4 0.689336338276
epo il10 0.3517421976
il10 myc 0.42356916041
col1a1 il10 0.305790154932
ghr il10 0.577482797614
atp7a il10 0.46827335725
fgfr3 il10 0.344495005197
fosl1 il10 0.316692939532
csf1 il10 0.549733592244
il10 src 0.499257430193
il10 spp1 0.390546617639
adam17 il10 0.357684035734
hras il10 0.404166409192
il10 stat1 0.577041395435
igf2 il10 0.320795270369
il10 il6st 0.609621132845
il10 met 0.334059735977
il10 p2rx7 0.307833410593
il10 mmp14 0.31566261097
il10 mmp13 0.329786959541
casp3 il10 0.464027459822
il10 mmp9 0.575392388051
il10 mmp2 0.485739664734
il10 tnf 0.664200019801
il10 nlrp3 0.491622689709
ctsk il10 0.314967833948
il10 pcsk5 0.335238241335
il10 vegfa 0.539860414595
igf1 il10 0.463089021923
il10 map3k14 0.32597788168
il10 irak3 0.391612886799
il10 nos3 0.427560242646
il10 tnfrsf11b 0.361218153062
il10 tgfb1 0.611117632694
il10 ptpn11 0.374815548422
il10 tgfb2 0.362540032079
il10 kras 0.449594327918
il10 notch2 0.303308263408
cd44 il10 0.613849057297
cd47 il10 0.327705175752
il10 nfatc1 0.49021948296
il10 pgr 0.320325473317
il10 thbs1 0.381627596456
il10 timp1 0.50046506044
eif2ak3 il10 0.325464303654
ctnnb1 il10 0.323376147385
dcn il10 0.314205228182
clec2d il10 0.310367595397
gper1 il10 0.342467561412
il10 sod2 0.338569995741
egr1 il10 0.363995372949
ctgf il10 0.345773010083
cyp27b1 il10 0.318275484434
ggt1 il10 0.395390599883
il10 lepr 0.639095246117
dym il10 0.3303967142
il10 ptpn2 0.329343841488
il10 mindy1 0.321786555511
cd163 il10 0.457939190741
il10 socs2 0.442525598994
il10 smad3 0.545860471558
fgfr2 il10 0.311495982304
f2r il10 0.30889393421
ciita il10 0.338350567936
il10 mapk14 0.605028809725
il10 pdgfra 0.301883008155
il10 ltb 0.314053112243
il10 lta 0.478913503775
il10 npr2 0.322848139618
il10 mtor 0.459015297012
il10 smad4 0.499842446555
il10 smad2 0.438433282978
il10 junb 0.404653344502
fos mapkapk2 0.350736719493
mapkapk2 rac1 0.535785551995
il6 mapkapk2 0.346486279836
cbx6 mapkapk2 0.552251987909
hras mapkapk2 0.31176947669
mapkapk2 ypel3 0.386508358756
mapkapk2 tnf 0.382846829596
kras mapkapk2 0.310095376639
mapkapk2 mef2c 0.304404805827
mapk14 mapkapk2 0.601439002693
sgcb sgcg 0.74597809457
sgca sgcg 0.709502262838
sgcg ttn 0.356813424319
itga7 sgcg 0.321508876482
flnc sgcg 0.324656565313
emd sgcg 0.34269615447
sgcg sspn 0.549586747886
cav3 sgcg 0.621486171701
capn3 sgcg 0.48184244262
myof sgcg 0.34121229508
des sgcg 0.393358536149
mstn sgcg 0.302165917372
mb sgcg 0.349211333884
dmd sgcg 0.623199129964
sgca sgcb 0.748739151618
itga7 sgcb 0.319807826492
sgcb sspn 0.552966171418
cav3 sgcb 0.568506927804
capn3 sgcb 0.472294164899
myof sgcb 0.363774043841
des sgcb 0.322050467719
dmd sgcb 0.62408221331
sgca ttn 0.419633098318
itga7 sgca 0.33638689455
flnc sgca 0.338625016666
emd sgca 0.390874552732
pln sgca 0.324733932518
sgca sspn 0.589674810132
cav3 sgca 0.636243956915
capn3 sgca 0.460939908473
myof sgca 0.3392792209
des sgca 0.457477107966
mstn sgca 0.325434048001
sgca skmw11 0.311045059251
mb sgca 0.418431716765
dmd sgca 0.625990736032
bglap2 fos 0.42194525822
bglap2 fgf2 0.451990030863
bglap2 sparc 0.461656754559
bglap bglap2 0.763784561364
bglap2 sox9 0.418905661206
bglap2 esr1 0.435773576069
bglap2 dlx5 0.427519381107
bglap2 lep 0.495229050447
bglap2 itgb1 0.316749043398
bglap2 tnfsf11 0.523214104064
bglap2 bmp7 0.449356425198
bglap2 bmp4 0.400129716275
bglap2 bmp2 0.518726527903
bglap2 fgf23 0.403782407466
bglap2 gja1 0.389989473307
bglap2 runx2 0.602351053621
bglap2 runx3 0.394856036788
bglap2 il6 0.414319281754
bglap2 myc 0.315652788973
bglap2 col1a2 0.300438160971
bglap2 col1a1 0.429839828944
bglap2 sp7 0.541910494663
bglap2 nog 0.320843499806
bglap2 csf1 0.353064558413
bglap2 spp1 0.555244236915
bglap2 bgn 0.351035025546
bglap2 bmpr1b 0.30836155757
bglap2 sost 0.435451541997
bglap2 igf2 0.346165395572
bglap2 col10a1 0.350848091299
bglap2 col2a1 0.372906049249
bglap2 mmp13 0.378206896682
bglap2 lef1 0.381020770308
bglap2 vdr 0.48988774162
bglap2 mmp9 0.330951273998
bglap2 tnf 0.481274520856
acp5 bglap2 0.466217702247
bglap2 ibsp 0.565031989287
bglap2 ctsk 0.436463219115
bglap2 msx2 0.387851670919
bglap2 pth 0.589114728709
bglap2 calcr 0.353280604936
bglap2 lrp5 0.304832213114
bglap2 igf1 0.410445526555
bglap2 kl 0.340023499451
bglap2 tnfrsf11b 0.514705958477
bglap2 tgfb1 0.354935809916
bglap2 cd44 0.357978844211
bglap2 pthlh 0.481660587091
bglap2 nfatc1 0.305846148902
bglap2 pgr 0.314872422636
bglap2 postn 0.354689137732
bglap2 phex 0.314625318955
bglap2 cyp27b1 0.333554672131
bglap2 lepr 0.434654189551
bglap2 smad3 0.300698910809
bglap2 mapk14 0.428491082802
bglap2 pth1r 0.482658667578
bglap2 smad4 0.315004377326
bglap2 smad2 0.363667427557
ap4e1 sh3gl2 0.57095997965
cbx6 sh3gl2 0.333875397336
fgfr3 sh3gl2 0.514748031223
c1rl sh3gl2 0.32664590252
sh3gl2 src 0.407516826511
met sh3gl2 0.473506702934
sh3gl2 wnt5a 0.532411987825
btbd9 sh3gl2 0.304459270107
ripk4 sh3gl2 0.318431039553
ret sh3gl2 0.425852206116
ccdc33 sh3gl2 0.319516767006
fgfr2 sh3gl2 0.458928040265
pdgfra sh3gl2 0.457685378218
drd2 sh3gl2 0.353929514794
itgb1 lama2 0.560909846027
itga7 lama2 0.497081164094
lama2 sirt1 0.323957812206
cd44 lama2 0.517560348497
chd7 lama2 0.320503665897
itgav lama2 0.497842252013
hspg2 lama2 0.576603060261
itga10 lama2 0.433268272168
dmd lama2 0.361688812472
lama2 smarca4 0.346556348254
lama2 mtor 0.331214319292
2700049a03rik ift172 0.352946166437
bbs5 ift172 0.346360209934
ift172 wdr19 0.648307196368
ift172 smo 0.367923832642
ift172 ihh 0.314297697214
ift172 pkd1 0.343652442569
ift172 rab23 0.396705465929
gli2 ift172 0.671378851709
ift172 ptch1 0.331821872881
ift172 ofd1 0.445716781382
gli3 ift172 0.648218596329
ccp110 ift172 0.310565813183
ift140 ift172 0.671316744365
ift172 ift88 0.696103094183
fgf8 zic2 0.398113254911
pax3 zic2 0.335379352736
smo zic2 0.319219511618
ihh zic2 0.339732955285
bmp4 zic2 0.328833979852
hoxd13 zic2 0.370890099392
lmx1b zic2 0.318228937926
nog zic2 0.321211321879
suz12 zic2 0.310422043542
rab23 zic2 0.315384235434
gli2 zic2 0.465874983923
ptch1 zic2 0.373175915738
wnt3a zic2 0.345096737171
msx1 zic2 0.301556695646
ripk4 zic2 0.38319721304
shh zic2 0.479848331069
ctnnb1 zic2 0.315637570523
gli3 zic2 0.302134868452
en1 zic2 0.343969265375
isl1 zic2 0.328384216325
fgfr1 zic2 0.343108847519
chrd zic2 0.318740803523
smarca4 zic2 0.341768111509
fgf8 zic3 0.417463055929
pax3 zic3 0.360777992975
sox9 zic3 0.303619440135
dlx5 zic3 0.313270096753
bmp7 zic3 0.30800111741
bmp4 zic3 0.418887837181
gja1 zic3 0.410001178044
myc zic3 0.304861848617
nog zic3 0.496717928623
fgfr3 zic3 0.337952774578
ror2 zic3 0.302347710007
suz12 zic3 0.335511351545
gsc zic3 0.30214856792
bmpr1a zic3 0.342730458779
ptch1 zic3 0.341549061543
lef1 zic3 0.310100818605
wnt5a zic3 0.325958046968
wnt3a zic3 0.344715249425
msx1 zic3 0.319801645615
pcsk5 zic3 0.300908981269
ripk4 zic3 0.383994260377
nos3 zic3 0.308700841525
sall4 zic3 0.328209382757
shh zic3 0.345897288108
ctnnb1 zic3 0.351650326495
gli3 zic3 0.494164722209
inhba zic3 0.302300001299
foxc2 zic3 0.306968807658
foxc1 zic3 0.331155360797
chd7 zic3 0.31160469278
isl1 zic3 0.340557352908
fgfr2 zic3 0.325767475061
fgfr1 zic3 0.361968163667
ift88 zic3 0.300705559955
pdgfra zic3 0.324523797569
chrd zic3 0.425243279753
tbx3 zic3 0.300933298349
smarca4 zic3 0.388383322093
smad4 zic3 0.321711834541
smad2 zic3 0.364395684424
fgf21 fos 0.369272276271
fgf21 irs1 0.31729378432
fgf21 lep 0.405010554837
fgf21 fgfr3 0.559437707905
fgf21 src 0.332277630847
fgf21 ppargc1a 0.333850496537
fgf21 sirt1 0.323568061117
fgf21 igf2 0.422011283749
fgf21 met 0.48578500348
fgf21 igf1 0.377424861157
fgf21 kl 0.483368911203
fgf21 mstn 0.304810731031
fgf21 nr1h2 0.333830502203
fgf21 lepr 0.502318457157
fgf21 fgfr2 0.539669358826
fgf21 fgfr1 0.564092753131
fgf21 mapk14 0.308808487198
fgf21 pdgfra 0.501706008634
2700049a03rik fgf4 0.318528301358
2700049a03rik ihh 0.307879227276
2700049a03rik hoxd12 0.430624370886
2700049a03rik hoxd13 0.395684241394
2700049a03rik grem1 0.35574503331
2700049a03rik rab23 0.304993873681
